id,make,model,year,cylinders,engine_displacement,drive,fuel_type,fuel_cost,fuel_type1,transmission,vehicle_size_class,you_save_spend,annual_petroleum_consumption,fetch_date,fiyat
40103,Subaru,WRX,2019,4,2,All-Wheel Drive,Premium,2950,Premium Gasoline,Manual 6-spd,Compact Cars,-5250,12.9352,2024-11-12 23:34:21,43139.00
4089,Subaru,Hatchback 4WD,1987,4,1.8,4-Wheel or All-Wheel Drive,Regular,2350,Regular Gasoline,Manual 4-spd,Special Purpose Vehicles,-2250,12.9352,2024-11-12 23:34:21,63824.00
41135,Nissan,GT-R,2019,6,3.8,All-Wheel Drive,Premium,3750,Premium Gasoline,Automatic (AM6),Subcompact Cars,-9250,16.5283,2024-11-12 23:34:21,55202.00
41994,Ford,Shelby GT350 Mustang,2020,8,5.2,Rear-Wheel Drive,Premium,4200,Premium Gasoline,Manual 6-spd,Subcompact Cars,-11500,18.5944,2024-11-12 23:34:21,54103.00
43610,Ford,Mustang Mach 1,2021,8,5,Rear-Wheel Drive,Regular,3000,Regular Gasoline,Automatic (S10),Subcompact Cars,-5500,16.5283,2024-11-12 23:34:21,53623.00
45700,Volkswagen,Atlas 4motion,2023,6,3.6,All-Wheel Drive,Regular,2700,Regular Gasoline,Automatic (S8),Small Sport Utility Vehicle 4WD,-4000,14.8755,2024-11-12 23:34:21,76722.00
46357,Nissan,Versa,2023,4,1.6,Front-Wheel Drive,Regular,1800,Regular Gasoline,Manual 5-spd,Compact Cars,500,9.917,2024-11-12 23:34:21,53479.00
30166,GMC,Sierra K15 4WD,2011,6,4.3,4-Wheel Drive,Regular,3350,Regular Gasoline,Automatic 4-spd,Standard Pickup Trucks 4WD,-7250,18.5944,2024-11-12 23:34:21,37505.00
32695,Mercedes-Benz,CLS550,2013,8,4.7,Rear-Wheel Drive,Premium,3350,Premium Gasoline,Automatic 7-spd,Compact Cars,-7250,14.8755,2024-11-12 23:34:21,37229.00
33405,Mazda,CX-5 4WD,2014,4,2,4-Wheel Drive,Regular,2000,Regular Gasoline,Automatic (S6),Small Sport Utility Vehicle 4WD,-500,11.0189,2024-11-12 23:34:21,66329.00
33758,Volkswagen,Beetle Convertible,2013,4,2,Front-Wheel Drive,Diesel,1800,Diesel,Automatic (AM-S6),Subcompact Cars,500,11.5224,2024-11-12 23:34:21,52026.00
34297,Dodge,Charger,2014,6,3.6,Rear-Wheel Drive,Regular,2350,Regular Gasoline,Automatic 8-spd,Large Cars,-2250,12.9352,2024-11-12 23:34:21,66742.00
3520,Plymouth,Colt Vista,1987,4,2,Front-Wheel Drive,Regular,2350,Regular Gasoline,Manual 5-spd,Small Station Wagons,-2250,12.9352,2024-11-12 23:34:21,39685.00
37262,Kia,Sportage FWD,2017,4,2.4,Front-Wheel Drive,Regular,2150,Regular Gasoline,Automatic (S6),Small Sport Utility Vehicle 2WD,-1250,11.9004,2024-11-12 23:34:21,46809.00
47861,Rivian,R1T All-Terrain Dual Large (20in),2024,NULL,NULL,Part-time 4-Wheel Drive,Electricity,1100,Electricity,Automatic (A1),Standard Pickup Trucks 4WD,4000,0.1176,2024-11-12 23:34:21,59181.00
4859,Dodge,D100/D150 Pickup 2WD,1988,8,5.9,Rear-Wheel Drive,Regular,4900,Regular Gasoline,Manual 4-spd,Standard Pickup Trucks,-15000,27.0464,2024-11-12 23:34:21,82735.00
4962,Dodge,W250 Pickup 4WD,1988,8,5.9,4-Wheel or All-Wheel Drive,Regular,5950,Regular Gasoline,Automatic 3-spd,Standard Pickup Trucks,-20250,33.0567,2024-11-12 23:34:21,59340.00
5147,Jeep,Cherokee 2WD,1988,4,2.5,Rear-Wheel Drive,Regular,3000,Regular Gasoline,Automatic 4-spd,Special Purpose Vehicle 2WD,-5500,16.5283,2024-11-12 23:34:21,59029.00
5350,Nissan,Pulsar NX,1989,4,1.6,Front-Wheel Drive,Regular,2050,Regular Gasoline,Manual 5-spd,Subcompact Cars,-750,11.4427,2024-11-12 23:34:21,50156.00
6148,Toyota,Truck 4WD,1989,4,2.4,4-Wheel or All-Wheel Drive,Regular,3000,Regular Gasoline,Manual 5-spd,Standard Pickup Trucks,-5500,16.5283,2024-11-12 23:34:21,51581.00
694,Chevrolet,S10 Pickup 2WD,1985,4,2.5,Rear-Wheel Drive,Regular,2550,Regular Gasoline,Automatic 4-spd,Small Pickup Trucks,-3250,14.1671,2024-11-12 23:34:21,39432.00
777,Chevrolet,C10 Pickup 2WD,1985,8,6.2,Rear-Wheel Drive,Diesel,2950,Diesel,Manual 4-spd,Standard Pickup Trucks,-5250,18.7997,2024-11-12 23:34:21,82793.00
38780,Volvo,S60 Inscription FWD,2018,4,2,Front-Wheel Drive,Regular,1850,Regular Gasoline,Automatic (S8),Compact Cars,250,10.259,2024-11-12 23:34:21,77959.00
39675,Hyundai,Tucson FWD,2018,4,2,Front-Wheel Drive,Regular,2050,Regular Gasoline,Automatic (S6),Small Sport Utility Vehicle 2WD,-750,11.4427,2024-11-12 23:34:21,57254.00
40081,Ferrari,488 GTB,2019,8,3.9,Rear-Wheel Drive,Premium,3750,Premium Gasoline,Automatic (AM7),Two Seaters,-9250,16.5283,2024-11-12 23:34:21,37007.00
40173,Porsche,911 Carrera,2019,6,3,Rear-Wheel Drive,Premium,2950,Premium Gasoline,Manual 7-spd,Minicompact Cars,-5250,12.9352,2024-11-12 23:34:21,46433.00
40274,Volvo,XC40 FWD,2019,4,2,Front-Wheel Drive,Regular,2000,Regular Gasoline,Automatic (S8),Small Sport Utility Vehicle 2WD,-500,11.0189,2024-11-12 23:34:21,75866.00
40294,Chevrolet,Tahoe C1500 2WD,2019,8,5.3,Rear-Wheel Drive,Gasoline or E85,3000,Regular Gasoline,Automatic 6-spd,Standard Sport Utility Vehicle 2WD,-5500,16.5283,2024-11-12 23:34:21,58621.00
42062,Mercedes-Benz,AMG GT C Roadster,2020,8,4,Rear-Wheel Drive,Premium,3950,Premium Gasoline,Automatic (AM7),Two Seaters,-10250,17.5006,2024-11-12 23:34:21,35113.00
30178,Chevrolet,Avalanche 1500 2WD,2011,8,5.3,Rear-Wheel Drive,Gasoline or E85,3150,Regular Gasoline,Automatic 6-spd,Sport Utility Vehicle - 2WD,-6250,17.5006,2024-11-13 00:04:23,68550.00
